-82, -53, 1998
-127, -78, 1998
-186, 5, 1998
-233, 160, 1985
-277, 258, 1832
-253, 262, 1549
-197, 254, 1326
-109, 230, 1051
-109, 230, 770
-54, 172, 770
-69, 185, 555
-90, 232, 248
-,-,-
167, -10, 1331
167, -10, 1331
175, 56, 1611
73, 138, 1903
-49, 183, 1998
-128, 92, 1998
-165, 12, 1998
-200, -2, 1998
-329, 16, 1988
-394, 95, 1632
-394, 95, 1632
-,-,-
-263, 82, 1446
-237, 57, 1542
-243, 63, 1675
-298, 56, 1814
-346, 58, 1939
-397, 97, 1978
-472, 124, 1984
-607, 88, 1998
-690, 70, 1875
-690, 70, 1875
-669, 132, 1499
-569, 215, 1067
-407, 272, 597
-264, 313, 191
-,-,-
-324, 88, 1939
-324, 88, 1939
-390, 110, 1998
-470, 98, 1979
-510, 89, 1757
-556, 129, 1591
-580, 247, 1297
-481, 347, 820
-317, 307, 513
-236, 324, 280
-193, 444, 16
-193, 444, 16
-,-,-
-290, 268, 1591
-381, 435, 1692
-416, 313, 1720
-379, 161, 1749
-528, 259, 1949
-676, 348, 1889
-718, 368, 1780
-621, 225, 1390
-529, 180, 1089
-384, 226, 754
-249, 260, 457
-94, 197, 76
-,-,-
-151, 113, 1436
-225, 162, 1566
-347, 175, 1852
-433, 172, 1994
-433, 172, 1994
-413, 148, 1998
-429, 108, 1998
-549, 139, 1975
-660, 238, 1791
-636, 296, 1433
-492, 344, 978
-403, 350, 661
-343, 192, 481
-,-,-
-86, -98, 1639
-214, 12, 1988
-325, -2, 1998
-440, 34, 1998
-440, 34, 1998
-494, 23, 1998
-592, 149, 1960
-631, 299, 1676
-583, 313, 1310
-502, 283, 1087
-406, 290, 788
-320, 403, 376
-243, 482, 96
-,-,-
-92, 176, 1531
-222, 260, 1900
-306, 94, 1950
-379, 20, 1977
-379, 20, 1977
-435, 94, 1998
-449, 186, 1928
-435, 241, 1695
-329, 212, 1325
-272, 208, 1073
-251, 289, 878
-189, 405, 667
-131, 500, 304
-73, 439, -69
1, 162, -233
-,-,-
-396, 248, 1837
-460, 231, 1805
-488, 237, 1752
-419, 256, 1526
-334, 272, 1279
-285, 253, 1076
-310, 260, 1006
-317, 281, 904
-177, 152, 675
-142, 178, 538
-142, 178, 538
-90, 155, 284
-62, 145, 134
-65, 187, 37
12, 131, -173
-,-,-
-413, 249, 1998
-445, 344, 1894
-485, 345, 1893
-483, 282, 1640
-507, 264, 1498
-534, 296, 1228
-417, 320, 864
-241, 236, 635
-129, 204, 323
-95, 330, 30
-,-,-
-240, 46, 1672
-395, 236, 1967
-475, 264, 1998
-435, 164, 1998
-395, 14, 1998
-408, 19, 1981
-408, 19, 1981
-445, 158, 1836
-463, 274, 1521
-447, 262, 1218
-430, 248, 1003
-399, 272, 740
-268, 323, 223
-163, 398, -110
-,-,-
-148, 18, 1487
-341, 147, 1811
-341, 147, 1811
-392, 110, 1817
-415, 108, 1895
-461, 115, 1998
-552, 158, 1992
-593, 150, 1758
-619, 282, 1547
-548, 293, 1170
-491, 233, 952
-489, 237, 775
-434, 356, 505
-301, 467, 168
-,-,-
-230, -164, 1494
-258, -79, 1559
-206, -142, 1643
-270, -130, 1796
-376, -131, 1959
-427, -83, 1929
-416, -31, 1911
-398, -19, 1720
-422, 112, 1372
-393, 279, 997
-380, 336, 769
-348, 229, 579
-,-,-
-365, -66, 1493
-334, 80, 1510
-357, 126, 1510
-428, 23, 1706
-414, -157, 1844
-430, -73, 1877
-454, -14, 1729
-498, 56, 1534
-451, 148, 1383
-362, 241, 1225
-362, 241, 1225
-216, 168, 991
-120, 67, 853
-69, 140, 556
-65, 396, 223
-95, 642, 65
-,-,-
-180, 8, 1356
-98, -130, 1546
-88, -159, 1732
-169, -208, 1854
-341, -150, 1997
-388, -8, 1802
-420, 135, 1557
-439, 151, 1388
-488, 249, 1202
-488, 249, 1202
-417, 275, 974
-272, 129, 769
-202, 60, 619
-169, 88, 443
-120, 89, 152
-,-,-
-264, -87, 1572
-264, -87, 1572
-303, -13, 1676
-360, -68, 1756
-402, -192, 1822
-373, -199, 1834
-397, -120, 1767
-429, -34, 1596
-403, -43, 1425
-344, 15, 1248
-244, 72, 983
-198, 155, 785
-168, 165, 672
-153, 144, 558
-172, 214, 461
-172, 318, 270
-172, 318, 270
-121, 369, 107
-,-,-
-231, -17, 1573
-279, 8, 1644
-361, -66, 1832
-405, -132, 1932
-447, -188, 1982
-463, -165, 1852
-404, -93, 1609
-405, 60, 1400
-380, 195, 1242
-263, 172, 1011
-202, 134, 786
-203, 164, 613
-203, 164, 613
-177, 212, 405
-126, 200, 182
-,-,-
-316, -122, 1494
-348, -69, 1546
-371, -43, 1704
-377, -19, 1883
-392, -67, 1974
-468, -75, 1998
-522, -103, 1944
-481, -117, 1714
-397, -23, 1447
-347, 149, 1139
-301, 301, 932
-187, 375, 699
-7, 255, 463
-7, 255, 463
0, 253, 353
-86, 373, 167
-,-,-
-384, 17, 1529
-384, 17, 1529
-340, 91, 1574
-281, 65, 1647
-291, 47, 1787
-307, -34, 1795
-284, -240, 1798
-350, -279, 1776
-409, -69, 1540
-375, 157, 1305
-338, 197, 1094
-311, 217, 871
-238, 212, 658
-132, 178, 411
-54, 193, 198
-,-,-
-203, -88, 1759
-203, -88, 1759
-270, 2, 1866
-382, 79, 1946
-393, 132, 1888
-353, 97, 1790
-350, 55, 1604
-385, 106, 1395
-336, 136, 1140
-315, 224, 883
-223, 302, 581
-122, 43, 268
-122, 43, 268
-211, -46, 236
-,-,-
